2	1287590630	34.0430230998	-118.2671570778	14637
2	1286382544	34.0426141541	-118.2696247101	31248
2	1285922768	34.0426141541	-118.2696247101	31248
2	1285417245	34.0210794933	-118.2862758636	144218
2	1285349894	34.0430230998	-118.2671570778	14637
2	1285007022	34.0426141541	-118.2696247101	31248
2	1284897975	34.1961143486	-118.3539104462	17888
2	1284892076	37.7105274475	-122.2120428085	224629
2	1284888079	37.7141770694	-122.2108411789	17159
2	1284887836	37.7513378048	-122.2011208534	10746
2	1284887793	37.7502562111	-122.2028911114	10747
2	1284887325	37.8247770415	-122.3138004541	10130
2	1284836236	37.8265990579	-122.4228858948	50511
2	1284823679	37.7931380917	-122.3962925528	48319
2	1284819844	37.7955948133	-122.3944990198	67272
2	1284818138	37.7956864865	-122.393682003	85070
2	1284817801	37.796042559	-122.3942828178	19763
2	1284731278	37.7958789833	-122.3937889333	51720
2	1284724025	37.7879542018	-122.4075329304	9114
2	1284723870	37.79762505	-122.4065995167	10195
2	1284723727	37.7953643241	-122.4031555653	9064
2	1284723676	37.7953388902	-122.3937249184	9073
2	1284723627	37.7906504193	-122.4055776	9116
2	1284723113	37.7858259859	-122.4065190554	14710
2	1284722528	37.7832313449	-122.4037456512	14858
2	1284722389	37.7858090278	-122.4010634422	16008
2	1284712455	37.8023377167	-122.3733680833	37735
2	1284712216	37.82065765	-122.3346048667	33720
2	1284711977	37.8247770415	-122.3138004541	10130
2	1284711947	37.8247770415	-122.3138004541	10130
2	1284711379	37.7513378048	-122.2011208534	10746
2	1284711353	37.7502562111	-122.2028911114	10747
2	1284704910	34.1961143486	-118.3539104462	17888
2	1284577066	34.0430230998	-118.2671570778	14637
2	1284367557	34.0982869833	-118.3416652333	55701
2	1284303436	34.0734129064	-118.2402169704	9884
2	1284287476	34.0151232	-118.4956101167	132085
2	1284209119	34.0456173	-118.2359915333	37319
2	1283883697	34.0734129064	-118.2402169704	9884
2	1283883117	34.0426141541	-118.2696247101	31248
2	1283703805	34.1961143486	-118.3539104462	17888
2	1283698282	37.7141770694	-122.2108411789	17159
2	1283698228	37.7105274475	-122.2120428085	224629
2	1283696627	37.7502562111	-122.2028911114	10747
2	1283552011	37.869831197	-122.2674129903	9120
2	1283546167	37.8729563477	-122.2519111633	9131
2	1283545635	37.8702673709	-122.2725749016	9129
2	1283416079	37.7513378048	-122.2011208534	10746
2	1283416021	37.7502562111	-122.2028911114	10747
2	1283415023	37.7105274475	-122.2120428085	224629
2	1283413959	37.7141770694	-122.2108411789	17159
2	1283410157	34.1961143486	-118.3539104462	17888
2	1283365014	34.0426141541	-118.2696247101	31248
2	1283193813	34.0426141541	-118.2696247101	31248
2	1283003840	34.0734129064	-118.2402169704	9884
2	1282904836	34.017211211	-118.4016859531	27677
2	1282810252	34.0426141541	-118.2696247101	31248
